DrugID,Name,Route,AuthCountry,AuthHolder,MasterFileLocation,Email
1,A,Subcutaneous Use,Germany,Helixor Heilmittel Gmbh,Germany,pharmacovigilance@helixor.de
2,A,Subcutaneous Use,Sweden,Helixor Heilmittel Gmbh,Germany,pharmacovigilance@helixor.de
3,A 313,Cutaneous Use,France,Laboratoires Pharma Developpement,France,vigilance@vigipharm.fr
4,A 313,Oral Use,France,Laboratoires Pharma Developpement,France,vigilance@vigipharm.fr
5,A.A.S,Oral Use,Spain,"Laboratorio Stada, S.L.",Germany,dso@stada.de
6,A.A.S.,Oral Use,Spain,"Laboratorio Stada, S.L.",Germany,dso@stada.de
7,A.Vogel Hyperiforce,Oral Use,Netherlands,A.Vogel B.V.,Netherlands,registratie@avogel.nl
8,A.Vogel Premenstrual Relief Pms,Oral Use,United Kingdom (Northern Ireland),A.Vogel Limited,Netherlands,registratie@avogel.nl
9,Aaa Sore Throat,Oromucosal Use,United Kingdom (Northern Ireland),Manx Healthcare Ltd,United Kingdom,manx@medinformation.co.uk
10,Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use ,Rectal Use",Luxembourg,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
11,Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use",Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
12,Aacidexam,"Intraarticular Use ,Intramuscular Use ,Intravenous Use ,Rectal Use",Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
13,Aacifemine,Oral Use,Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
14,Aacifemine,Oral Use,Luxembourg,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
15,Aacifemine,Vaginal Use,Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
16,Aacifemine,Vaginal Use,Belgium,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
17,Aacifemine,Vaginal Use,Luxembourg,Aspen Pharma Trading Limited,Ireland,DUB-GM-Drugsafety@ie.aspenpharma.com
18,Aarane N,Inhalation Use,Germany,Hormosan Pharma Gmbh,Germany,EU-PV@lupin.com
19,Aas,Oral Use,Portugal,"Perrigo Portugal, Lda.",Belgium,CSCIGlobalPatientSafety@perrigo.com
20,Abacat,Oral Use,Spain,"Tarbis Farma, S.L.",Netherlands,safety@amaroxpharma.com
21,Abacavir / Lamivudine Auxilia,Oral Use,Lithuania,Auxilia Pharma,Latvia,safety@snovigroup.com
22,Abacavir / Lamivudine Biogaran,Oral Use,France,Biogaran,France,pharmacovigilance@biogaran.fr
23,Abacavir + Lamivudina Aurovitas,Oral Use,Portugal,"Generis Farmacêutica, S.A.",Malta,pharmacovigilance.eu@aurobindo.com
24,Abacavir + Lamivudina Farmoz,Oral Use,Portugal,"Farmoz - Sociedade Técnico Medicinal, S.A.",Portugal,augusto.filipe@tecnimede.com
25,Abacavir + Lamivudina Mylan,Oral Use,Portugal,Viatris Limited,Italy,productsafety@viatris.com
26,Abacavir + Lamivudine Sandoz,Oral Use,Poland,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com
27,Abacavir Accord,Oral Use,Finland,Accord Healthcare B.V.,Poland,arlettawerynska@lambda-cro.com
28,Abacavir Accord,Oral Use,Netherlands,Accord Healthcare B.V.,Poland,arlettawerynska@lambda-cro.com
29,Abacavir Arrow,Oral Use,France,Arrow Generiques,Malta,pharmacovigilance.eu@aurobindo.com
30,Abacavir Aurobindo,Oral Use,Romania,Aurobindo Pharma (Malta) Limited,Malta,pharmacovigilance.eu@aurobindo.com
31,Abacavir E Lamivudina Aurobindo,Oral Use,Italy,Aurobindo Pharma (Italia) S.R.L.,Malta,pharmacovigilance.eu@aurobindo.com
32,Abacavir E Lamivudina Sun,Oral Use,Italy,Sun Pharma France,Romania,victoria.bodea@sunpharma.com
33,Abacavir Farmoz,Oral Use,Portugal,"Farmoz - Sociedade Técnico Medicinal, S.A.",Portugal,augusto.filipe@tecnimede.com
34,Abacavir Generis,Oral Use,Portugal,"Generis Farmacêutica, S.A.",Malta,pharmacovigilance.eu@aurobindo.com
35,Abacavir Milpharm,Oral Use,United Kingdom (Northern Ireland),Milpharm Limited,Malta,pharmacovigilance.eu@aurobindo.com
36,Abacavir Mylan,Oral Use,Italy,Mylan S.P.A.,Italy,productsafety@viatris.com
37,Abacavir Mylan,Oral Use,Portugal,Viatris Limited,Italy,productsafety@viatris.com
38,Abacavir Mylan,Oral Use,United Kingdom (Northern Ireland),Generics [uk] Limited,Italy,productsafety@viatris.com
39,Abacavir Sandoz,Oral Use,France,Sandoz,Germany,eu-qppv.office@sandoz.com
40,Abacavir Sandoz,Oral Use,Netherlands,Sandoz B.V.,Germany,eu-qppv.office@sandoz.com
41,Abacavir Sulfate / Lamivudine Aurobindo,Oral Use,Netherlands,Aurobindo Pharma B.V.,Malta,pharmacovigilance.eu@aurobindo.com
42,Abacavir Tarbis,Oral Use,Spain,"Tarbis Farma, S.L.",Netherlands,safety@amaroxpharma.com
43,Abacavir Viatris,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com
44,Abacavir/Lamivudin Al,Oral Use,Germany,Aliud Pharma Gmbh,Germany,dso@stada.de
45,Abacavir/Lamivudin Aurobindo,Oral Use,Germany,Puren Pharma Gmbh & Co. Kg,Malta,pharmacovigilance.eu@aurobindo.com
46,Abacavir/Lamivudin Basics,Oral Use,Germany,Basics Gmbh,Romania,drugsafetyeurope@sunpharma.com
47,Abacavir/Lamivudin Beta,Oral Use,Germany,Betapharm Arzneimittel Gmbh,Germany,pharmacovigilance@betapharm.de
48,Abacavir/Lamivudin Heumann,Oral Use,Germany,Heumann Pharma Gmbh & Co. Generica Kg,Germany,Medical.department@heumann.de
49,Abacavir/Lamivudin Hormosan,Oral Use,Germany,Hormosan Pharma Gmbh,Germany,EU-PV@lupin.com
50,Abacavir/Lamivudin Medical Valley,Oral Use,Denmark,Medical Valley Invest Ab,Spain,safety@medicalvalley.se
51,Abacavir/Lamivudin Mylan,Oral Use,Denmark,Mylan Ab,Italy,productsafety@viatris.com
52,Abacavir/Lamivudin Mylan,Oral Use,Finland,Mylan Ab,Italy,productsafety@viatris.com
53,Abacavir/Lamivudin Mylan,Oral Use,Norway,Mylan Ab,Italy,productsafety@viatris.com
54,Abacavir/Lamivudin Mylan Pharma,Oral Use,Denmark,Mylan Ab,Italy,productsafety@viatris.com
55,Abacavir/Lamivudin Mylan Pharma,Oral Use,Germany,Mylan Germany Gmbh,Italy,productsafety@viatris.com
56,Abacavir/Lamivudin Puren,Oral Use,Germany,Puren Pharma Gmbh & Co. Kg,Malta,pharmacovigilance.eu@aurobindo.com
57,Abacavir/Lamivudin Ratiopharm,Oral Use,Austria,Teva B.V,Croatia,safety.europe@tevaeu.com
58,Abacavir/Lamivudin Ratiopharm,Oral Use,Germany,Ratiopharm Gmbh,Croatia,safety.europe@tevaeu.com
59,Abacavir/Lamivudin Sandoz,Oral Use,Austria,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com
60,Abacavir/Lamivudin Stada,Oral Use,Austria,Stada Arzneimittel Gmbh,Germany,dso@stada.de
61,Abacavir/Lamivudin Teva,Oral Use,Germany,Teva Gmbh,Croatia,safety.europe@tevaeu.com
62,Abacavir/Lamivudin Teva,Oral Use,Netherlands,Teva Nederland B.V.,Croatia,safety.europe@tevaeu.com
63,Abacavir/Lamivudin Viatris,Oral Use,Austria,Viatris Limited,Italy,productsafety@viatris.com
64,Abacavir/Lamivudin Viatris,Oral Use,Denmark,Viatris Limited,Italy,productsafety@viatris.com
65,Abacavir/Lamivudin Viatris,Oral Use,Finland,Mylan Ab,Italy,productsafety@viatris.com
66,Abacavir/Lamivudină,Oral Use,Romania,Terapia S.A.,Romania,drugsafetyeurope@sunpharma.com
67,Abacavir/Lamivudina Aurovitas,Oral Use,Spain,"Aurovitas Spain,s.A.U.",Malta,pharmacovigilance.eu@aurobindo.com
68,Abacavir/Lamivudina Dr. Reddys,Oral Use,Spain,"Reddy Pharma Iberia, S.A.",Germany,pharmacovigilance@betapharm.de
69,Abacavir/Lamivudina Glenmark,Oral Use,Spain,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com
70,Abacavir/Lamivudina Kern Pharma,Oral Use,Spain,"Kern Pharma, S.L.",Spain,farmacovigilancia@kernpharma.com
71,Abacavir/Lamivudina Macleods,Oral Use,Spain,"Macleods Pharma España, S.L.U",Poland,paulinamajewska@lambda-cro.com
72,Abacavir/Lamivudină Mylan,Oral Use,Romania,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com
73,Abacavir/Lamivudina Tarbis,Oral Use,Spain,"Tarbis Farma, S.L.",Netherlands,safety@amaroxpharma.com
74,Abacavir/Lamivudina Teva,Oral Use,Spain,"Teva Pharma S.L.U.,",Croatia,safety.europe@tevaeu.com
75,Abacavir/Lamivudina Viatris,Oral Use,Spain,Viatris Limited,Italy,productsafety@viatris.com
76,Abacavir/Lamivudină Viatris,Oral Use,Romania,Viatris Limited,Italy,productsafety@viatris.com
77,Abacavir/Lamivudina/Zidovudina Mylan,Oral Use,Italy,Mylan S.P.A.,Italy,productsafety@viatris.com
78,Abacavir/Lamivudine Accord,Oral Use,France,Accord Healthcare France Sas,Poland,arlettawerynska@lambda-cro.com
79,Abacavir/Lamivudine Accord,Oral Use,Latvia,Accord Healthcare B.V.,Poland,arlettawerynska@lambda-cro.com
80,Abacavir/Lamivudine Accord,Oral Use,Lithuania,Accord Healthcare B.V.,Poland,arlettawerynska@lambda-cro.com
81,Abacavir/Lamivudine Accord,Oral Use,Netherlands,Accord Healthcare B.V.,Poland,arlettawerynska@lambda-cro.com
82,Abacavir/Lamivudine Accord,Oral Use,Sweden,Accord Healthcare B.V.,Poland,arlettawerynska@lambda-cro.com
83,Abacavir/Lamivudine Accord,Oral Use,United Kingdom (Northern Ireland),Accord Healthcare Limited,Poland,arlettawerynska@lambda-cro.com
84,Abacavir/Lamivudine Amarox,Oral Use,Germany,Amarox Pharma Gmbh,Netherlands,safety@amaroxpharma.com
85,Abacavir/Lamivudine Amarox,Oral Use,Netherlands,Amarox Pharma B.V.,Netherlands,safety@amaroxpharma.com
86,Abacavir/Lamivudine Amarox,Oral Use,United Kingdom (Northern Ireland),Amarox Limited,Netherlands,safety@amaroxpharma.com
87,Abacavir/Lamivudine Arrow,Oral Use,France,Arrow Generiques,Malta,pharmacovigilance.eu@aurobindo.com
88,Abacavir/Lamivudine Auxilia,Oral Use,Estonia,Auxilia Pharma,Latvia,safety@snovigroup.com
89,Abacavir/Lamivudine Dr. Reddy's,Oral Use,United Kingdom (Northern Ireland),Dr. Reddy's Laboratories (Uk) Ltd,Germany,pharmacovigilance@betapharm.de
90,Abacavir/Lamivudine Eg,Oral Use,France,Eg Labo Laboratoires Eurogenerics,Germany,dso@stada.de
91,Abacavir/Lamivudine Glenmark,Oral Use,Denmark,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com
92,Abacavir/Lamivudine Glenmark,Oral Use,Netherlands,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com
93,Abacavir/Lamivudine Glenmark,Oral Use,Sweden,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com
94,Abacavir/Lamivudine Lupin Healthcare (Uk),Oral Use,United Kingdom (Northern Ireland),Lupin Healthcare (Uk) Limited,Germany,EU-PV@lupin.com
95,Abacavir/Lamivudine Macleods,Oral Use,Netherlands,"Macleods Pharma España, S.L.U",Poland,paulinamajewska@lambda-cro.com
96,Abacavir/Lamivudine Macleods,Oral Use,United Kingdom (Northern Ireland),Macleods Pharma Uk Ltd,United Kingdom,monikagoyal@lambda-cro.com
97,Abacavir/Lamivudine Macleods Pharma Uk,Oral Use,United Kingdom (Northern Ireland),Macleods Pharma Uk Ltd,United Kingdom,monikagoyal@lambda-cro.com
