SubID,DrugID
1,1113
1,1114
1,1115
1,1116
1,1121
14,1121
5,1121
1,1122
14,1122
5,1122
14,1145
5,1145
14,1146
5,1146
9,19200
9,24429
9,27329
9,33024
2,7457
2,7458
7,7458
2,7459
7,7459
2,7460
7,7460
7,7369
7,7427
7,7428
7,7429
13,49514
13,49515
13,49516
13,49517
12,35038
12,35039
12,35040
12,35041
3,7086
3,7158
3,7159
3,12638
11,31837
11,31838
11,31839
11,31840
6,26180
6,26181
6,26182
6,26183
4,14427
4,14428
4,14429
4,14430
10,16453
10,16454
10,16455
10,16456
8,30277
8,30278
8,30279
8,30280
12,1
13,2
14,3
1,4
2,5
3,6
4,7
5,8
6,9
7,10
8,11
9,12
10,13
11,14
12,15
13,16
14,17
1,18
2,19
3,20
4,21
5,22
6,23
7,24
8,25
9,26
10,27
11,28
12,29
13,30
14,31
1,32
2,33
3,34
4,35
5,36
6,37
7,38
8,39
9,40
10,41
11,42
12,43
13,44
14,45
1,46
2,47
3,48
4,49
5,50
6,51
7,52
8,53
9,54
10,55
11,56
12,57
13,58
14,59
1,60
2,61
3,62
4,63
5,64
6,65
7,66
8,67
9,68
10,69
11,70
12,71
13,72
14,73
1,74
2,75
3,76
4,77
5,78
6,79
7,80
8,81
9,82
10,83
11,84
12,85
13,86
14,87
1,88
2,89
3,90
4,91
5,92
6,93
7,94
8,95
9,96
10,97
11,98
12,99
13,100
14,101
1,102
2,103
3,104
4,105
5,106
6,107
7,108
8,109
9,110
10,111
11,112
12,113
13,114
14,115
1,116
2,117
3,118
4,119
5,120
6,121
7,122
8,123
9,124
10,125
11,126
12,127
13,128
14,129
1,130
2,131
3,132
4,133
5,134
6,135
7,136
8,137
9,138
10,139
11,140
12,141
13,142
14,143
1,144
2,145
3,146
4,147
5,148
6,149
7,150
8,151
9,152
10,153
11,154
12,155
13,156
14,157
1,158
2,159
3,160
4,161
5,162
6,163
7,164
8,165
9,166
10,167
11,168
12,169
13,170
14,171
1,172
2,173
3,174
4,175
5,176
6,177
7,178
8,179
9,180
10,181
11,182
12,183
13,184
14,185
1,186
2,187
3,188
4,189
5,190
6,191
7,192
8,193
9,194
10,195
11,196
12,197
13,198
14,199
1,200
2,201
3,202
4,203
5,204
6,205
7,206
8,207
9,208
10,209
11,210
12,211
13,212
14,213
1,214
2,215
3,216
4,217
5,218
6,219
7,220
8,221
9,222
10,223
11,224
12,225
13,226
14,227
1,228
2,229
3,230
4,231
5,232
6,233
7,234
8,235
9,236
10,237
11,238
12,239
13,240
14,241
1,242
2,243
3,244
4,245
5,246
6,247
7,248
8,249
9,250
10,251
11,252
12,253
13,254
14,255
1,256
2,257
3,258
4,259
5,260
6,261
7,262
8,263
9,264
10,265
11,266
12,267
13,268
14,269
1,270
2,271
3,272
4,273
5,274
6,275
7,276
8,277
9,278
10,279
11,280
12,281
13,282
14,283
1,284
2,285
3,286
4,287
5,288
6,289
7,290
8,291
9,292
10,293
11,294
12,295
13,296
14,297
1,298
2,299
3,300
4,301
5,302
6,303
7,304
8,305
9,306
10,307
11,308
12,309
13,310
14,311
1,312
2,313
3,314
4,315
5,316
6,317
7,318
8,319
9,320
10,321
11,322
12,323
13,324
14,325
1,326
2,327
3,328
4,329
5,330
6,331
7,332
8,333
9,334
10,335
11,336
12,337
13,338
14,339
1,340
2,341
3,342
4,343
5,344
6,345
7,346
8,347
9,348
10,349
11,350
12,351
13,352
14,353
1,354
2,355
3,356
4,357
5,358
6,359
7,360
8,361
9,362
10,363
11,364
12,365
13,366
14,367
1,368
2,369
3,370
4,371
5,372
6,373
7,374
8,375
9,376
10,377
11,378
12,379
13,380
14,381
1,382
2,383
3,384
4,385
5,386
6,387
7,388
8,389
9,390
10,391
11,392
12,393
13,394
14,395
1,396
2,397
3,398
4,399
5,400
6,401
7,402
8,403
9,404
10,405
11,406
12,407
13,408
14,409
1,410
2,411
3,412
4,413
5,414
6,415
7,416
8,417
9,418
10,419
11,420
12,421
13,422
14,423
1,424
2,425
3,426
4,427
5,428
6,429
7,430
8,431
9,432
10,433
11,434
12,435
13,436
14,437
1,438
2,439
3,440
4,441
5,442
6,443
7,444
8,445
9,446
10,447
11,448
