ProcRoomID,ProcRoomType,State
1,OperatingRoom,Available
2,OperatingRoom,Available
3,OperatingRoom,Available
4,OperatingRoom,Available
5,OperatingRoom,Available
6,OperatingRoom,Available
7,OperatingRoom,Available
8,OperatingRoom,Available
9,OperatingRoom,Available
10,OperatingRoom,Available
11,OperatingRoom,Available
12,OperatingRoom,Available
13,OperatingRoom,Available
14,OperatingRoom,Available
15,InterventionRoom,Available
16,InterventionRoom,Available
17,InterventionRoom,Available
18,InterventionRoom,Available
19,InterventionRoom,Available
20,InterventionRoom,Available
