Date,ShiftType,Department,StaffCategory,SubClass,StaffCount
2026-03-10,Afternoon,Cardiology,Admin,Registrar,1
2026-03-10,Afternoon,Cardiology,Admin,Archivist,1
2026-03-10,Afternoon,Cardiology,Doctor,Cardiology,2
2026-03-10,Afternoon,Cardiology,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Cardiology,Nurse,Nurse,3
2026-03-10,Morning,Cardiology,Admin,Secretary,1
2026-03-10,Morning,Cardiology,Admin,Accountant,1
2026-03-10,Morning,Cardiology,Doctor,Cardiology,2
2026-03-10,Morning,Cardiology,Nurse,HeadNurse,1
2026-03-10,Morning,Cardiology,Nurse,AssistantNurse,5
2026-03-10,Night,Cardiology,Admin,BillingOfficer,1
2026-03-10,Night,Cardiology,Admin,HRClerk,1
2026-03-10,Night,Cardiology,Doctor,Cardiology,3
2026-03-10,Night,Cardiology,Nurse,Nurse,6
2026-03-10,Afternoon,Emergency,Admin,Archivist,1
2026-03-10,Afternoon,Emergency,Admin,Registrar,1
2026-03-10,Afternoon,Emergency,Doctor,EmergencyMed,3
2026-03-10,Afternoon,Emergency,Nurse,AssistantNurse,3
2026-03-10,Afternoon,Emergency,Nurse,Nurse,3
2026-03-10,Morning,Emergency,Admin,Secretary,1
2026-03-10,Morning,Emergency,Admin,Accountant,1
2026-03-10,Morning,Emergency,Doctor,EmergencyMed,3
2026-03-10,Morning,Emergency,Nurse,HeadNurse,1
2026-03-10,Morning,Emergency,Nurse,AssistantNurse,5
2026-03-10,Night,Emergency,Admin,BillingOfficer,1
2026-03-10,Night,Emergency,Admin,HRClerk,1
2026-03-10,Night,Emergency,Doctor,EmergencyMed,3
2026-03-10,Night,Emergency,Nurse,Nurse,6
2026-03-10,Afternoon,ENT,Admin,Registrar,1
2026-03-10,Afternoon,ENT,Admin,Archivist,1
2026-03-10,Afternoon,ENT,Doctor,ENT,2
2026-03-10,Afternoon,ENT,Nurse,AssistantNurse,3
2026-03-10,Afternoon,ENT,Nurse,Nurse,3
2026-03-10,Morning,ENT,Admin,Secretary,1
2026-03-10,Morning,ENT,Admin,Accountant,1
2026-03-10,Morning,ENT,Doctor,ENT,2
2026-03-10,Morning,ENT,Nurse,HeadNurse,1
2026-03-10,Morning,ENT,Nurse,AssistantNurse,5
2026-03-10,Night,ENT,Admin,BillingOfficer,1
2026-03-10,Night,ENT,Admin,HRClerk,1
2026-03-10,Night,ENT,Doctor,ENT,3
2026-03-10,Night,ENT,Nurse,Nurse,6
