Name	Year	KENcode	BaseCost	ExtraCost	TotalRevenue	InsuranceProviderName	HospitalizationCount
Orthopedics	2025	Ζ02Μ	50575	4816.68	55391.68	StudentFund	7
Orthopedics	2025	Μ05Χ	18303	0.00	18303.00	StudentFund	3
Orthopedics	2025	Μ04Μ	63378	10954.16	74332.16	StudentFund	9
Pediatrics	2025	Δ12Μ	53581	2541.36	56122.36	EFKA	11
Pediatrics	2025	Υ22Μ	2942	840.56	3782.56	EFKA	2
Pediatrics	2025	Δ20Μ	29359	3002.58	32361.58	EFKA	11
Pediatrics	2025	Ω32Α	2148	2506.00	4654.00	EFKA	6
ICU	2025	Κ32Μ	22682	6186.00	28868.00	EFKA	11
ICU	2025	Υ09Χβ	5175	4140.00	9315.00	EFKA	5
ICU	2025	Ω34Α	2880	4896.00	7776.00	EFKA	10
Oncology	2025	Ν23Α	8436	324.46	8760.46	Uninsured	4
Oncology	2025	Α27Μ	2592	2376.00	4968.00	Uninsured	3
Oncology	2025	Ν04Χ	9880	3705.00	13585.00	Uninsured	4
Pediatrics	2025	Η44Μ	1198	0.00	1198.00	EFKA	1
ICU	2025	Ω34Α	3456	8064.00	11520.00	PrivateHealth	12
ICU	2025	Κ32Μ	20620	5670.50	26290.50	PrivateHealth	10
Surgery	2025	Π27Μ	20168	4831.84	24999.84	EFKA	8
Surgery	2025	Γ06Μ	14841	5771.50	20612.50	EFKA	9
Ophthalmology	2025	Κ42Μ	20540	2464.80	23004.80	EFKA	10
Ophthalmology	2025	Δ25Χ	1400	1050.00	2450.00	EFKA	4
Gastroenterology	2025	Ω04Χ	13538	17406.00	30944.00	EFKA	7
Gastroenterology	2025	Η42Μ	7752	2422.50	10174.50	EFKA	4
Gastroenterology	2025	Υ05Χ	11000	4666.62	15666.62	EFKA	11
Psychiatry	2025	Κ11Χ	25784	5525.04	31309.04	Uninsured	8
Psychiatry	2025	Α12Μ	11952	1171.75	13123.75	Uninsured	3
Psychiatry	2025	Η06Χ	9336	5912.80	15248.80	Uninsured	6
Psychiatry	2025	Ε12Α	51312	14966.00	66278.00	Uninsured	8
Internal Medicine	2025	Η20Μ	32049	4855.95	36904.95	Uninsured	9
Internal Medicine	2025	Β04Α	6520	9780.00	16300.00	Uninsured	10
Internal Medicine	2025	Ν32Μ	22225	1133.95	23358.95	EFKA	7
Internal Medicine	2025	Β04Α	5216	10432.00	15648.00	EFKA	8
Internal Medicine	2025	Π28Α	870	2320.00	3190.00	EFKA	3
Internal Medicine	2026	Β04Α	6520	8476.00	14996.00	StudentFund	10
Emergency	2026	Υ06Χ	3232	3232.00	6464.00	StudentFund	4
Surgery	2026	Θ08Α	1904	5712.00	7616.00	StudentFund	2
ENT	2026	Α34Μβ	11144	4776.00	15920.00	StudentFund	8
Oncology	2026	Κ10Χ	29964	17025.00	46989.00	StudentFund	11
Oncology	2026	Κ10Χ	13620	6810.00	20430.00	EFKA	5
Gastroenterology	2026	Μ19Χ	1904	3808.00	5712.00	EFKA	1
Nephrology	2026	Ο23Α	2100	1680.00	3780.00	EFKA	5
Neurology	2026	Α02Χ	4781	10245.00	15026.00	EFKA	7
ENT	2026	Α34Μβ	6965	796.00	7761.00	EFKA	5
Surgery	2026	Π27Μ	27731	5462.08	33193.08	EFKA	11
Neurology	2026	Ω02Μα	16260	2956.38	19216.38	EFKA	3
Cardiology	2026	Α10Χ	60151	10410.84	70561.84	EFKA	13
Surgery	2026	Γ06Μ	16490	10718.50	27208.50	EFKA	10
Orthopedics	2026	Μ71Χ	1620	1012.50	2632.50	EFKA	4
Emergency	2026	Ε10Α	752072	13927.28	765999.28	EFKA	8
Psychiatry	2026	Ε12Α	83382	53450.00	136832.00	EFKA	13
Internal Medicine	2026	Η20Μ	14244	2913.57	17157.57	StudentFund	4
